Restaurant,Customer,Date,Rating,Review
Al Dahan,Mohamed A***,19 January 2024,OK,٣ اوردر يوصل في ساعتين الي ٣ ساعات جيه ناقس وبارد كل عاده والعيش محروق، مطعم زباله، لا انصح ب الطلب
Al Dahan,abdullah Ahmed A***,19 January 2024,Amazing,مطعم ممتاز تسلم ايديكم
Al Dahan,Mahmoud Ahmed H***,18 January 2024,Amazing,انصح بالتجربة
Al Dahan,abdullah Ahmed A***,18 January 2024,Amazing,مندوب محترم جدا
Al Dahan,saged m***,17 January 2024,Amazing,الاكل كان جميل جدا
Al Dahan,Asmaa T***,17 January 2024,Amazing,ممتاز
Al Dahan,Ahmed H***,16 January 2024,OK,حرام عليكم كل مرة الاوردر غلط والاكل سئ ....منكم لله.....حسبي الله ونعم الوكيل
Al Dahan,Ahmed M***,16 January 2024,OK,المسؤول عن التوصيب اسلوبه متعجرف وكأنه مستبعد مكان التوصيل و اسلوبه غير جيد بالمرة ولا انصح بالتعامل
Al Dahan,Abdulrhman A***,15 January 2024,OK,تاخير جدا ، والطعم اقل من العادي
Al Dahan,Ahmed H***,15 January 2024,OK,اسوء مطعم ممكن تاكل منه وتتعامل معاه ...تجربة لن تتكرر مرة أخرى
Al Dahan,Radwa A***,12 January 2024,Amazing,كله ممتاز
Al Dahan,nada s***,10 January 2024,Amazing,الطواجن حلوه اووووى و الاوردر وصل ف اسرع وقت
Al Dahan,Radwa A***,10 January 2024,Amazing,الكواليتي ممتازة جدا
Al Dahan,dina m***,10 January 2024,Good,الاكل كان بارد جدا ومفيش اي طعم وحقيقي كنت مستاءه جدا وخصوصا اني اول مره اجربه
Al Dahan,Kenzy Tamer F***,06 January 2024,Good,الفراخ كانت زفره طعمها وريحه مش حلوين ابدا
Al Dahan,Aziz H***,02 January 2024,Very good,الاكل والتغليف حلو بس الشوربة باردة
Al Dahan,nazly s***,01 January 2024,OK,بيت الكلاوي كانت اكثر من سيئة اشك انها كانت بيت كلاوي اصلا
