Grand Rafal,Ahmed A***,30 December 2022,Very good,الكريب كويس واهتميتوا بالملاحظات ولكن نسيتوا ان الكريب كان كومبو وبالتالي ماجاش معاه كانز ولا بطاطس
Grand Rafal,Malak S***,16 November 2022,Very good,كريب النوتيلا لذيذ
Grand Rafal,Hossam A***,26 October 2022,Good,طالب بيتزا نوع جالي نوع تاني شاورما ميكس مبحبهاش مش عارف ليه ب مزاجه طيب
Grand Rafal,Walied M***,13 October 2022,Amazing,Great 👍
Grand Rafal,علاء م***,11 October 2022,Good,البيتزا جيدة، لكن التغليف سئ، البيتزا وصلت غير سليمة
Mtbakh Hadouta Masarya Llakl Elbety,Rodayna b***,18 July 2023,Very good,الرز ملوش طعم و الكفته ناشفه و الفراخ ملهاش طعم و ناشفه
Mtbakh Hadouta Masarya Llakl Elbety,غادة ا***,17 July 2023,Good,طلبنا محشي مشكل وكان حادق جداااا ..وجبة بانيه محشي قطعتين فقط واحدة متوسط وواحدة صغير عكس الصورة
Mtbakh Hadouta Masarya Llakl Elbety,Wael H***,25 January 2023,Good,لا مش كويس وماعندوش ضمير طالعلي البيت حاسب الاوردر بيقولي مفيش معايا الا ١٠ ج اضريت اديوإكرامية ١٠ ج
Mtbakh Hadouta Masarya Llakl Elbety,Aywa Ana Pop ***,10 November 2022,Good,الممبار قليل اوى وغامق لونو كأنه بايت لاكن حجم البانيه كويس
Mtbakh Hadouta Masarya Llakl Elbety,Eman E***,28 October 2022,Very good,الاكل وصل سخن جدا والحمام كان طعمه حلو اوووي محشي الكرنب حادق شويه
Mtbakh Hadouta Masarya Llakl Elbety,Adham M***,08 October 2022,Very good,الجلاش جميل جدا ولاكن الكفته الطعم مش احسن حاجه وانصح ب التجربه
Mtbakh Hadouta Masarya Llakl Elbety,Ahmed M***,02 July 2022,Good,كميه قليله بالنسبه لسعره وثانيا كان مايع ناقص ملح
Mtbakh Hadouta Masarya Llakl Elbety,Salomy Zaher ***,19 May 2022,Very good,حلو
Mtbakh Hadouta Masarya Llakl Elbety,Izzat S***,14 May 2022,Very good,Put some salad for more balanced meal
Mtbakh Hadouta Masarya Llakl Elbety,yoyobi c***,23 December 2021,Good,Improve food quality.
Mtbakh Hadouta Masarya Llakl Elbety,KAHB B***,22 June 2021,Very good,الحمام الكداب بجد تحفه تحفه عمري ما اكلت زيه والخلطه بجد فظيعه في تقدم أن شاء الله
Mtbakh Hadouta Masarya Llakl Elbety,Nadeen E***,19 May 2021,Very good,"وقت التوصيل سريع كان سريع جداً, كان تغليف الطلب ممتاز, الأكل كان ممكن يكون أفضل, حسيت ان نوعية الأكل كانت ممتازة بالنسبة للسعر"
Mtbakh Hadouta Masarya Llakl Elbety,Mohamed E***,22 April 2021,Very good,"كان تغليف الطلب ممتاز, الأكل كان ممكن يكون أفضل"
Mtbakh Hadouta Masarya Llakl Elbety,Ahmed K***,01 March 2021,Good,Thanks
Mtbakh Hadouta Masarya Llakl Elbety,Mohamed Yasser ***,27 February 2021,Very good,الاردر جالي بسرعه والطيار محترم جدن
Mtbakh Hadouta Masarya Llakl Elbety,Sara Elrakhawy ***,16 February 2021,Very good,حلو
Muqla Dawlia,Mariam K***,03 September 2023,Good,الاوردر مش متقفل كويس والكيس صغير جداااااا علي الحاجات ياريت التقفيل يبقي افضل من كدا
Muqla Dawlia,كرمان م***,05 August 2023,Very good,لا
Muqla Dawlia,Khaled H***,26 June 2023,Very good,شكرا جزيلا.منتجات ممتازة وخدمة راقية
