Chili'sORDER ONLINE,Maryam Khalil,a year ago,4,very crowded there was nearly no places to sit expensive but the portions are big and the food was tasty
Chili'sORDER ONLINE,Alia,a year ago,3,Yea
Chili'sORDER ONLINE,Farida Mohamed,a year ago,3,There was only one sauce cu
Chili'sORDER ONLINE,gerges,a year ago,3,ضعيف
Chili'sORDER ONLINE,Hassan Samir,a year ago,1,فين البطاطس
Chili'sORDER ONLINE,Rony,a year ago,1,Salad came without the seasoning and without AVOCADO!
Chili'sORDER ONLINE,Marina New,a year ago,1,Chicken wasn’t fresh and salads were missing half the ingredients: it was basically just lots of LETTUCE with pieces of chicken that’s it. Zero quality control when it comes to the food to be delivered out of the restaurant. Order was also very poorl...
Chili'sORDER ONLINE,Rania Magdy,a year ago,3,I have no idea why? But the food tasted like how homemade food tastes.. Totally different from how it tastes when you eat at the restaurant.
Chili'sORDER ONLINE,ibrahim,a year ago,1,Raw steak disgusting
Chili'sORDER ONLINE,Reham,a year ago,3,It was too cold
Chili'sORDER ONLINE,Samar Farid,a year ago,3,Missing ice cream
Chili'sORDER ONLINE,NoHa Faik,a year ago,5,Best experience 👌🏻❤️
Chili'sORDER ONLINE,Riham Elkhadrawi,a year ago,4,I asked for no tomatoes but they added t
Chili'sORDER ONLINE,ahmed,a year ago,1,No dressing received as surved in house
Chili'sORDER ONLINE,Medhat,a year ago,1,the chicken was not cooked. so gross!
Chili'sORDER ONLINE,Youssef,a year ago,1,السانويتشات باردة وطعمل سيئ وعاملين أوفر ٢ ساندويتش و٢ بيبسي، طلبت منه ٢ أوفر جاللى ٢ بيبسي بدل ٤.
Chili'sORDER ONLINE,Monica Alber,a year ago,5,Bb
Chili'sORDER ONLINE,Sahar Eissa,a year ago,1,الاوردر سيء الفراخ البانيه بايته والصوص كان بايظ وتسبب في تسمم
Chili'sORDER ONLINE,Marina New,a year ago,1,"Order was very poorly packaged,not fresh and the nachos were extremely cold"
Chili'sORDER ONLINE,Hatem Elzarkawy,a year ago,1,الاكل جاي بارد جدا والصوص واقع في الشنطة والشنطة مقطوعة والاكل اتاخر ساعتين اسوء تجربة اكل وتوصيل
Chili'sORDER ONLINE,Ola Ucef,a year ago,1,"It was awful last time to order from this restaurant,"
Chili'sORDER ONLINE,Ameena,a year ago,4,Didn’t send ranch with the chicken crispers
Chili'sORDER ONLINE,Omar Ayad,a year ago,3,Mac n cheese skillet boneless wings is very bad and there is no sauce and most of the mac n cheese was like eating boiled pasta and that is it and the size is very very small the worst experience for me regarding chilis But blanco dip was VERY VERY ...
Chili'sORDER ONLINE,Kamal Khalil,a year ago,1,العيش بايت والاكل يقرف، اطلبوا من مكان تاني احسن.
